,urn,title,authors,year
3484,URN:NBN:no-nb_digibok_2020091707593,Marihøne,"Ersland , Bjørn Arild",2013
1115,URN:NBN:no-nb_digibok_2018061307532,Amir og Nina,"Andersen , Torill",2013
2349,URN:NBN:no-nb_digibok_2018072748015,Ny i Norge : tekstbok : Ordliste norsk-arabisk,"Manne , Gerd",2013
475,URN:NBN:no-nb_digibok_2018091805053,Ny i Norge : tekstbok : Arbeidsbok,"Manne , Gerd",2013
4762,URN:NBN:no-nb_digibok_2013072408125,Fingeren,"Ersland , Bjørn Arild",2013
631,URN:NBN:no-nb_digibok_2013071508205,Huset mitt,"Johnsen , Janne Aasebø",2013
3466,URN:NBN:no-nb_digibok_2018070205080,Tuba luba. 2 : 4. klasse Oppgåvehefte,"Sporstøl , Ebba-Marie",2013
1123,URN:NBN:no-nb_digibok_2018072507206,Signatur 3 : norsk påbygging : studiekompetanse,"Andresen , Øyvind",2013
2022,URN:NBN:no-nb_digibok_2020051307003,Mer norsk : norsk og samfunnskunnskap for voksne innvandrere : B1 : Øvinger i lytteforståelse,"Nilsen , Gølin Kaurin",2013
3459,URN:NBN:no-nb_digibok_2013072408139,Dykking,"Ersland , Bjørn Arild",2013
689,URN:NBN:no-nb_digibok_2020051548505,Papirbåten : finmotorisk trening for småskoletrinnet,"Devold , Else H. / Kristensen , Thor W. ( Thor Walter )",2013
413,URN:NBN:no-nb_digibok_2019082007079,"Du og eg, Knute","Lindboe , Karin Kinge",2013
3456,URN:NBN:no-nb_digibok_2013072408119,Pål og Pia hjelper,"Sunne , Linn T.",2013
2371,URN:NBN:no-nb_digibok_2018042048562,Norsk for yrkesfag 1,"Gitmark , Cecilie / Haraldsen , Mette / Nøstdal , Rune Krogh / Johannesen , Nina Hovda",2013
3447,URN:NBN:no-nb_digibok_2019082307026,Salto : [1. trinn] Arbeidsbok B : store bokstavar,"Fjeld , Siw Monica",2013
1135,URN:NBN:no-nb_digibok_2020032507010,"Sjå, Anne","Andersen , Torill",2013
2014,URN:NBN:no-nb_digibok_2018080148067,Ein farleg katt,"Ersland , Bjørn Arild",2013
4317,URN:NBN:no-nb_digibok_2020011007070,Salto : [1. trinn] Arbeidsbok A : stavskrift,"Fjeld , Siw Monica",2013
57,URN:NBN:no-nb_digibok_2018061307524,Superhelten Jan,"Bringsværd , Tor Åge",2013
4748,URN:NBN:no-nb_digibok_2018101205010,Saga : Lærerveiledning 8,"Jensen , Marit / Groseth , Johannes",2013
395,URN:NBN:no-nb_digibok_2020012907094,"Tut, Nut og Knut","Ersland , Bjørn Arild",2013
3630,URN:NBN:no-nb_digibok_2018061307529,Kim spring,"Klepp , Anneli",2013
3424,URN:NBN:no-nb_digibok_2018061307589,Skulevegen,"Johnsen , Janne Aasebø",2013
